Familia Carrera,Carrera,Institución,Ubicación,Tipo Institución,Tipo Gestión,Duración,Costo (S/.),Ingresantes/Postulantes (%),Ingreso Promedio Nacional (S/.),Crédito universitario,Becas educativas,Ingresantes,Postulantes,Matriculados
Administración de Empresas ,Administración,San Pedro,Ancash,INSTITUTO,PRIVADA,3,1320,89,ND,No,Si,32,36,32
Administración de Empresas ,Administración,Universidad Católica Los Ángeles De Chimbote,La Libertad,UNIVERSIDAD,PRIVADA,ND,ND,ND,1993,No,No,ND,ND,ND
Administración de Empresas ,Administración,Frederick Winslow Taylor,Lima,INSTITUTO,PRIVADA,3,1090,69,1749,No,Si,69,100,69
Administración de Empresas ,Administración,Universidad Nacional Mayor De San Marcos,Lima,UNIVERSIDAD,PUBLICA,5,ND,5,3148,No,No,237,4518,1302
Administración de Empresas ,Administración,Universidad Nacional Daniel Alcides Carrión,Pasco,UNIVERSIDAD,PUBLICA,5,46 - 72,11,2107,No,No,83,736,498
Administración de Empresas ,Administración,Universidad Católica Los Ángeles De Chimbote,Ucayali,UNIVERSIDAD,PRIVADA,ND,ND,ND,1993,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Católica Los Ángeles De Chimbote,Ayacucho,UNIVERSIDAD,PRIVADA,ND,ND,ND,1993,No,No,ND,ND,ND
Administración de Empresas ,Administración,Ete Sargento 2Do Fernando Lores Tenazoa,Lima,INSTITUTO,PUBLICA,3,"934 - 1,617",53,ND,No,No,24,45,24
Administración de Empresas ,Administración,Idat,Lima,INSTITUTO,PRIVADA,3,4100,ND,1768,No,Si,ND,ND,2440
Administración de Empresas ,Administración,Universidad Nacional José Faustino Sánchez Carrión,Lima,UNIVERSIDAD,PUBLICA,5,120,20,2101,No,No,150,763,543
Administración de Empresas ,Administración,Universidad San Ignacio De Loyola,Lima,UNIVERSIDAD,PRIVADA,5,"15,130 - 26,530",23,3738,No,Si,433,1870,1641
Administración de Empresas ,Administración,Perú - Católica,Lima,INSTITUTO,PRIVADA,3,200 - 350,65,ND,Si,Si,60,92,180
Administración de Empresas ,Administración,Universidad De San Martín De Porres,Arequipa,UNIVERSIDAD,PRIVADA,ND,ND,ND,2866,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Nacional De San Martín,San Martin,UNIVERSIDAD,PUBLICA,5,218 - 446,ND,2028,No,No,78,ND,626
Administración de Empresas ,Administración,Universidad Continental,Arequipa,UNIVERSIDAD,PRIVADA,ND,ND,ND,2354,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Nacional Micaela Bastidas De Apurímac,Apurimac,UNIVERSIDAD,PUBLICA,5,40 - 260,ND,2417,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Cesar Vallejo,Lambayeque,UNIVERSIDAD,PRIVADA,ND,ND,ND,2361,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Nacional De San Agustín,Arequipa,UNIVERSIDAD,PUBLICA,5,50,6,2360,No,No,125,1938,923
Administración de Empresas ,Administración,Universidad San Pedro,Cajamarca,UNIVERSIDAD,PRIVADA,ND,ND,ND,2139,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad De Lima,Lima,UNIVERSIDAD,PRIVADA,5,"14,400 - 27,360",35,4755,No,Si,594,1688,6030
Administración de Empresas ,Administración,Alas Peruanas - Arequipa,Arequipa,INSTITUTO,PRIVADA,3,ND,96,1690,No,No,101,105,321
Administración de Empresas ,Administración,Universidad Peruana Unión,San Martin,UNIVERSIDAD,PRIVADA,ND,ND,ND,2391,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Nacional Santiago Antúnez De Mayolo,Ancash,UNIVERSIDAD,PUBLICA,5,60,ND,2169,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad De San Martín De Porres,Lambayeque,UNIVERSIDAD,PRIVADA,ND,ND,ND,2866,No,No,ND,ND,ND
Administración de Empresas ,Administración,Continental,Junin,INSTITUTO,PRIVADA,3,2600,86,1946,No,Si,475,551,1907
Administración de Empresas ,Administración,Universidad Señor De Sipán,Lambayeque,UNIVERSIDAD,PRIVADA,5,"2,900 - 4,300",93,2163,Si,Si,1531,1650,2902
Administración de Empresas ,Administración,Universidad Autónoma Del Perú,Lima,UNIVERSIDAD,PRIVADA,5,"1,750 - 3,350",98,2285,No,Si,428,437,922
Administración de Empresas ,Administración,Universidad Católica Los Ángeles De Chimbote,Tumbes,UNIVERSIDAD,PRIVADA,ND,ND,ND,1993,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Andina Del Cusco,Madre de Dios,UNIVERSIDAD,PRIVADA,ND,ND,ND,2399,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Nacional Del Callao,Callao,UNIVERSIDAD,PUBLICA,5,166,ND,2642,No,Si,ND,ND,ND
Administración de Empresas ,Administración,Universidad Católica Los Ángeles De Chimbote,Junin,UNIVERSIDAD,PRIVADA,ND,ND,ND,1993,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Nacional Del Altiplano,Puno,UNIVERSIDAD,PUBLICA,5,ND,4,2231,No,No,83,1908,1239
Administración de Empresas ,Administración,Universidad Católica Sedes Sapientiae,Lima,UNIVERSIDAD,PRIVADA,5,"1,900 - 6,664",90,2352,No,Si,259,287,1480
Administración de Empresas ,Administración,Universidad Nacional De Huancavelica,Huancavelica,UNIVERSIDAD,PUBLICA,5,40 - 400,9,2195,No,No,51,596,821
Administración de Empresas ,Administración,Universidad De San Martín De Porres,Lima,UNIVERSIDAD,PRIVADA,5,"7,880 - 13,072",97,2866,No,Si,633,653,2189
Administración de Empresas ,Administración,Universidad Del Pacífico,Lima,UNIVERSIDAD,PRIVADA,5,"17,930 - 40,290",44,5283,Si,Si,301,680,3681
Administración de Empresas ,Administración,Universidad Nacional De La Amazonia Peruana,Loreto,UNIVERSIDAD,PUBLICA,5,144,23,2378,No,Si,68,302,1132
Administración de Empresas ,Administración,Universidad Nacional De Trujillo,La Libertad,UNIVERSIDAD,PUBLICA,5,99,ND,2250,No,No,110,ND,578
Administración de Empresas ,Administración,Universidad Católica De Trujillo Benedicto XVI,La Libertad,UNIVERSIDAD,PRIVADA,ND,ND,ND,ND,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Nacional Agraria De La Selva,Huanuco,UNIVERSIDAD,PUBLICA,5,100,12,2248,No,Si,60,487,304
Administración de Empresas ,Administración,Universidad Antonio Ruiz De Montoya,Lima,UNIVERSIDAD,PRIVADA,5,"3,372 - 7,020",82,ND,No,Si,49,60,114
Administración de Empresas ,Administración,Universidad Privada Antenor Orrego,La Libertad,UNIVERSIDAD,PRIVADA,5,4800,ND,2206,No,Si,ND,ND,ND
Administración de Empresas ,Administración,Universidad Católica Los Ángeles De Chimbote,Piura,UNIVERSIDAD,PRIVADA,ND,ND,ND,1993,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Nacional De Cajamarca,Cajamarca,UNIVERSIDAD,PUBLICA,5,52,8,2778,No,No,37,463,468
Administración de Empresas ,Administración,Universidad Continental,Cusco,UNIVERSIDAD,PRIVADA,ND,ND,ND,2354,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Cesar Vallejo,San Martin,UNIVERSIDAD,PRIVADA,ND,ND,ND,2361,No,No,ND,ND,ND
Administración de Empresas ,Administración,Pontificia Universidad Católica Del Perú,Lima,UNIVERSIDAD,PRIVADA,5,"10,164 - 31,780",ND,4262,Si,Si,ND,ND,ND
Administración de Empresas ,Administración,Universidad Católica Los Ángeles De Chimbote,Huanuco,UNIVERSIDAD,PRIVADA,ND,ND,ND,1993,No,No,ND,ND,ND
Administración de Empresas ,Administración,Universidad Privada Del Norte,La Libertad,UNIVERSIDAD,PRIVADA,5,"3,500 - 5,924",100,2620,Si,Si,536,536,3299
Administración de Empresas ,Administración,Universidad Católica Los Ángeles De Chimbote,Ancash,UNIVERSIDAD,PRIVADA,5,"1,620 - 1,940",72,1993,No,Si,2572,3592,18800
Administración de Empresas ,Administración Bancaria,Blaise Pascal,San Martin,INSTITUTO,PRIVADA,3,"1,160 - 1,560",ND,ND,Si,Si,ND,ND,387
Administración de Empresas ,Administración Bancaria,De Formación Empresarial En Computación E Informática - Itec,Junin,INSTITUTO,PRIVADA,3,2150,83,ND,Si,Si,45,54,219
Administración de Empresas ,Administración Bancaria,De Formación Bancaria Ifb,Lima,INSTITUTO,PRIVADA,3,"2,350 - 2,900",90,2070,No,Si,7264,8071,15516
Administración de Empresas ,Administración Bancaria,Continental,Junin,INSTITUTO,PRIVADA,3,2800,95,1946,No,Si,238,250,885
Administración de Empresas ,Administración Bancaria,Cepeban,San Martin,INSTITUTO,PRIVADA,3,3200,81,ND,No,Si,82,101,225
Administración de Empresas ,Administración Bancaria,De Formación Bancaria - Chiclayo,Lambayeque,INSTITUTO,PRIVADA,3,"1,830 - 2,030",86,2070,No,Si,452,527,1563
Administración de Empresas ,Administración Bancaria,Buenaventura Mestanza Mori,San Martin,INSTITUTO,PRIVADA,3,1400,100,ND,No,Si,17,17,105
Administración de Empresas ,Administración Bancaria,Santa Rosa,Lima,INSTITUTO,PRIVADA,3,"900 - 1,100",ND,ND,Si,Si,ND,ND,ND
Administración de Empresas ,Administración Bancaria,De Formación Bancaria - Arequipa,Arequipa,INSTITUTO,PRIVADA,3,"3,660 - 4,060",100,2070,No,Si,608,608,1878
Administración de Empresas ,Administración Bancaria,Ipemec,Lima,INSTITUTO,PRIVADA,3,ND,ND,ND,No,No,ND,ND,ND
Administración de Empresas ,Administración Bancaria,Cepeban - Huancayo,Junin,INSTITUTO,PRIVADA,3,3900,ND,ND,No,Si,ND,ND,ND
Administración de Empresas ,Administración Bancaria,Cuna De La Libertad Americana,Ayacucho,INSTITUTO,PRIVADA,3,1500,96,ND,No,Si,120,125,222
Administración de Empresas ,Administración Bancaria,San José Oriol,Arequipa,INSTITUTO,PRIVADA,3,400,100,1658,No,Si,13,13,42
Administración de Empresas ,Administración Bancaria,Tuinen Star,Cusco,INSTITUTO,PRIVADA,3,2200,100,ND,No,Si,38,38,23
Administración de Empresas ,Administración Bancaria por Competencias,Centro Peruano De Estudios Bancarios-Cepeban,Lima,INSTITUTO,PRIVADA,3,650,100,1969,No,Si,520,520,1939
Administración de Empresas ,Administración Bancaria y Financiera,Tecsel,San Martin,INSTITUTO,PRIVADA,3,270,89,ND,No,Si,80,90,131
Administración de Empresas ,Administración Bancaria y Financiera,La Pontificia-Andahuaylas,Apurimac,INSTITUTO,PRIVADA,3,"2,200 - 2,750",ND,ND,No,Si,ND,ND,ND
Administración de Empresas ,Administración Bancaria y Financiera,Del Sur,Arequipa,INSTITUTO,PRIVADA,3,3800,83,2092,Si,Si,315,378,961
Administración de Empresas ,Administración Bancaria y Financiera,Futuro Del Sur-El Carmen,Arequipa,INSTITUTO,PRIVADA,3,1500,100,ND,No,Si,19,19,38
Administración de Empresas ,Administración Bancaria y Financiera,Cesca,Lima,INSTITUTO,PRIVADA,3,3200,ND,1649,No,Si,ND,ND,ND
Administración de Empresas ,Administración Bancaria y Financiera,La Pontificia,Ayacucho,INSTITUTO,PRIVADA,3,"2,200 - 2,750",ND,ND,No,Si,ND,ND,ND
Administración de Empresas ,Administración Bancaria y Financiera,Idat,Lima,INSTITUTO,PRIVADA,3,4350,ND,1768,No,Si,ND,ND,ND
Administración de Empresas ,Administración de Banca y Finanzas,Universidad Tecnológica Del Perú,Lima,UNIVERSIDAD,PRIVADA,5,6580,85,2443,No,Si,88,104,273
Administración de Empresas ,Administración de Banca y Finanzas,Cibertec,Lima,INSTITUTO,PRIVADA,3,7452,100,1988,Si,Si,90,90,254
Administración de Empresas ,Administración de Empresas,Celendín,Cajamarca,INSTITUTO,PRIVADA,3,1100,76,ND,No,Si,25,33,95
Administración de Empresas ,Administración de Empresas,Acción Comunitaria,Callao,INSTITUTO,PRIVADA,3,1470,59,ND,No,Si,78,132,289
Administración de Empresas ,Administración de Empresas,Universidad De Piura,Piura,UNIVERSIDAD,PRIVADA,5,"9,080 - 29,130",60,3980,No,Si,87,146,1457
Administración de Empresas ,Administración de Empresas,Universidad San Ignacio De Loyola,Lima,UNIVERSIDAD,PRIVADA,5,10860,92,3738,No,No,879,958,3055
Administración de Empresas ,Administración de Empresas,Universidad Nacional De San Cristóbal De Huamanga,Ayacucho,UNIVERSIDAD,PUBLICA,5,128,7,2755,No,Si,76,1151,ND
Administración de Empresas ,Administración de Empresas,Cesde (Centro De Enseñanza Superior Para El Desarrollo),Ayacucho,INSTITUTO,PRIVADA,3,2020,86,ND,No,Si,160,185,200
Administración de Empresas ,Administración de Empresas,Unitek-Chincha,Ica,INSTITUTO,PRIVADA,3,1700,ND,1582,Si,Si,ND,ND,ND
Administración de Empresas ,Administración de Empresas,De Administración Y Promotoria Empresarial - Inape,Arequipa,INSTITUTO,PRIVADA,3,1620,94,ND,No,Si,47,50,247
Administración de Empresas ,Administración de Empresas,Universidad Católica De Santa María,Arequipa,UNIVERSIDAD,PRIVADA,5,"4,466 - 5,266",42,2576,No,Si,208,497,798
Administración de Empresas ,Administración de Empresas,Universidad Privada Antonio Guillermo Urrelo,Cajamarca,UNIVERSIDAD,PRIVADA,5,"3,180 - 3,480",99,2478,No,Si,213,216,877
Administración de Empresas ,Administración de Empresas,Universidad Nacional Tecnológica De Lima Sur,Lima,UNIVERSIDAD,PUBLICA,5,200,17,2050,No,No,120,723,1141
Administración de Empresas ,Administración de Empresas,Universidad Peruana Del Centro,Junin,UNIVERSIDAD,PRIVADA,5,2300,97,ND,No,No,58,60,140
Administración de Empresas ,Administración de Empresas,Juli,Puno,INSTITUTO,PUBLICA,3,110,ND,ND,No,Si,ND,ND,ND
Administración de Empresas ,Administración de Empresas,Bitec,Ancash,INSTITUTO,PRIVADA,3,1630,96,ND,No,Si,51,53,51
Administración de Empresas ,Administración de Empresas,Buenaventura Mestanza Mori,San Martin,INSTITUTO,PRIVADA,3,1400,100,ND,No,Si,58,58,170
Administración de Empresas ,Administración de Empresas,Cevatur- Arequipa,Arequipa,INSTITUTO,PRIVADA,4,ND,100,ND,No,No,234,234,12
Administración de Empresas ,Administración de Empresas,José María Arguedas,Junin,INSTITUTO,PUBLICA,3,180,80,ND,No,No,82,103,379
Administración de Empresas ,Administración de Empresas,María Rosario Araoz Pinto,Lima,INSTITUTO,PUBLICA,3,420,74,2010,Si,Si,78,105,451
Administración de Empresas ,Administración de Empresas,Chincha,Ica,INSTITUTO,PUBLICA,3,280,56,ND,No,Si,34,61,117
Administración de Empresas ,Administración de Empresas,Carlos Cueto Fernandini,Lima,INSTITUTO,PUBLICA,3,480,7,1647,No,No,76,1103,76
Administración de Empresas ,Administración de Empresas,Pichanaki,Junin,INSTITUTO,PUBLICA,3,260,45,ND,No,Si,40,88,244
Administración de Empresas ,Administración de Empresas,John A Mackay,San Martin,INSTITUTO,PRIVADA,3,1700,100,ND,No,Si,20,20,38
Administración de Empresas ,Administración de Empresas,Luis Lumiere,Ancash,INSTITUTO,PRIVADA,3,1340,ND,ND,Si,Si,ND,ND,ND
Administración de Empresas ,Administración de Empresas,Universidad Nacional Del Centro Del Perú,Junin,UNIVERSIDAD,PUBLICA,5,20,13,2339,No,No,71,530,1002
Administración de Empresas ,Administración de Empresas,Catalina Buendía De Pecho,Ica,INSTITUTO,PUBLICA,3,426,35,ND,No,Si,40,115,187
Administración de Empresas ,Administración de Empresas,Juan Mejía Baca,Lambayeque,INSTITUTO,PRIVADA,3,320,84,1463,Si,Si,84,100,ND
Administración de Empresas ,Administración de Empresas,Enrique López Albujar,Lambayeque,INSTITUTO,PUBLICA,3,180,75,ND,No,No,40,53,40
Administración de Empresas ,Administración de Empresas,Esdit,Arequipa,INSTITUTO,PRIVADA,3,ND,100,ND,No,Si,24,24,24
Administración de Empresas ,Administración de Empresas,Regional Del Sur,Cusco,INSTITUTO,PRIVADA,3,1400,98,ND,No,Si,155,158,867
Administración de Empresas ,Administración de Empresas,San Juan,Piura,INSTITUTO,PRIVADA,3,1920,100,ND,No,Si,100,100,387
Administración de Empresas ,Administración de Empresas,Antonio Raimondi,Ucayali,INSTITUTO,PRIVADA,3,200 - 320,94,ND,Si,Si,33,35,185
Administración de Empresas ,Administración de Empresas,Universidad Nacional De Educación Enrique Guzmán Y Valle,Lima,UNIVERSIDAD,PUBLICA,5,90,23,2607,No,No,60,256,824
Administración de Empresas ,Administración de Empresas,Franklin Roosevelt,Junin,INSTITUTO,PRIVADA,3,1360,86,ND,Si,Si,80,93,80
Administración de Empresas ,Administración de Empresas,Ciro Alegría Bazán,La Libertad,INSTITUTO,PUBLICA,3,180,75,ND,Si,Si,50,67,50
Administración de Empresas ,Administración de Empresas,Instituto Técnico De Administración De Empresas-Itae,Lima,INSTITUTO,PRIVADA,3,2100,ND,1672,No,Si,ND,ND,ND
Administración de Empresas ,Administración de Empresas,Juana María Condesa,Arequipa,INSTITUTO,PRIVADA,3,130,89,ND,No,Si,25,28,25
Administración de Empresas ,Administración de Empresas,Gilda Liliana Ballivian Rosado,Lima,INSTITUTO,PUBLICA,3,760,36,1842,No,No,80,223,378
Administración de Empresas ,Administración de Empresas,Santos Villalobos Huamán,Cajamarca,INSTITUTO,PUBLICA,3,160 - 200,ND,ND,Si,Si,ND,ND,ND
Administración de Empresas ,Administración de Empresas,Eugenio Paccelly,Junin,INSTITUTO,PRIVADA,3,ND,ND,ND,No,No,ND,ND,ND
Administración de Empresas ,Administración de Empresas,Rodríguez De Mendoza,Amazonas,INSTITUTO,PUBLICA,3,100,98,ND,No,No,41,42,38
Administración de Empresas ,Administración de Empresas,Universidad Nacional Micaela Bastidas De Apurímac,Apurimac,UNIVERSIDAD,PUBLICA,ND,ND,ND,2417,No,No,ND,ND,ND
Administración de Empresas ,Administración de Empresas,De Investigaciones Industriales,Cajamarca,INSTITUTO,PRIVADA,3,"1,200 - 1,450",98,ND,Si,Si,150,153,140
Administración de Empresas ,Administración de Empresas,Nuestra Señora Del Carmen,Piura,INSTITUTO,PRIVADA,3,2100,86,ND,No,No,120,140,120
Administración de Empresas ,Administración de Empresas,Juan José Farfán Céspedes,Piura,INSTITUTO,PUBLICA,3,300,93,ND,No,No,39,42,200
Administración de Empresas ,Administración de Empresas,Amazónico,San Martin,INSTITUTO,PRIVADA,3,"1,320 - 1,520",95,ND,Si,Si,228,241,1260
Administración de Empresas ,Administración de Empresas,Motupe,Lambayeque,INSTITUTO,PUBLICA,3,200,91,ND,Si,Si,31,34,31
Administración de Empresas ,Administración de Empresas,Universidad Tecnológica Del Perú,Arequipa,UNIVERSIDAD,PRIVADA,ND,ND,ND,2443,No,No,ND,ND,ND
Administración de Empresas ,Administración de Empresas,Simón Bolívar,Callao,INSTITUTO,PUBLICA,3,300,60,ND,No,Si,87,146,387
Administración de Empresas ,Administración de Empresas,Universidad Nacional Toribio Rodríguez De Mendoza De Amazonas,Amazonas,UNIVERSIDAD,PUBLICA,5,120,33,2182,No,No,136,411,884
Administración de Empresas ,Administración de Empresas,Norbert Wiener,Lima,INSTITUTO,PRIVADA,3,2650,ND,1723,No,Si,ND,ND,ND
Administración de Empresas ,Administración de Empresas,Universidad Nacional José María Arguedas,Apurimac,UNIVERSIDAD,PUBLICA,5,40 - 40,11,2033,No,No,80,696,1066
Administración de Empresas ,Administración de Empresas,Futuro Del Sur-El Carmen,Arequipa,INSTITUTO,PRIVADA,3,1500,70,ND,No,Si,19,27,29
Administración de Empresas ,Administración de Empresas,Alas Peruanas - Piura,Piura,INSTITUTO,PRIVADA,3,1620,100,ND,No,Si,250,250,1001
Administración de Empresas ,Administración de Empresas,Tuinen Star,Cusco,INSTITUTO,PRIVADA,3,1780,91,ND,No,Si,204,225,288
Administración de Empresas ,Administración de Empresas,Julio Cesar Tello,Lima,INSTITUTO,PUBLICA,3,300,54,ND,No,Si,80,147,201
Administración de Empresas ,Administración de Empresas,Unibact,Cajamarca,INSTITUTO,PRIVADA,3,"910 - 1,200",ND,ND,No,Si,ND,ND,ND
Administración de Empresas ,Administración de Empresas,Unitek-Ilo,Moquegua,INSTITUTO,PRIVADA,3,2260,ND,1582,No,Si,ND,ND,ND
Administración de Empresas ,Administración de Empresas,Universidad Privada Sise,Lima,UNIVERSIDAD,PRIVADA,5,5750,84,ND,No,Si,37,44,48
Administración de Empresas ,Administración de Empresas,De Avance Tecnológico Y Científico - Isatec,Lambayeque,INSTITUTO,PRIVADA,3,"1,920 - 2,020",84,ND,No,Si,75,89,199
Administración de Empresas ,Administración de Empresas,San Javier Del Marañón,Cajamarca,INSTITUTO,PRIVADA,3,"1,140 - 1,700",100,ND,No,No,127,127,127
Administración de Empresas ,Administración de Empresas,Abaco - Piura,Piura,INSTITUTO,PRIVADA,3,"910 - 1,300",ND,ND,No,Si,ND,ND,ND
Administración de Empresas ,Administración de Empresas,San Francisco De Asís,Junin,INSTITUTO,PRIVADA,3,1950,ND,ND,Si,Si,ND,ND,ND
Administración de Empresas ,Administración de Empresas,Computron,Lima,INSTITUTO,PRIVADA,3,3400,85,ND,No,Si,85,100,310
Administración de Empresas ,Administración de Empresas,Idat,Lima,INSTITUTO,PRIVADA,3,4300,95,1768,No,Si,953,998,1214
Administración de Empresas ,Administración de Empresas,Félix De La Rosa Reátegui Y Gaviria,San Martin,INSTITUTO,PRIVADA,3,210 - 280,ND,1792,Si,Si,ND,ND,ND
Administración de Empresas ,Administración de Empresas,Francisco Antonio De Zela,Tacna,INSTITUTO,PRIVADA,3,1710,89,ND,No,Si,31,35,97
Administración de Empresas ,Administración de Empresas,Universidad Católica Santo Toribio De Mogrovejo,Lambayeque,UNIVERSIDAD,PRIVADA,5,"6,110 - 8,960",85,2444,Si,Si,334,392,1250
Administración de Empresas ,Administración de Empresas,Teodoro Rivera Taype,Junin,INSTITUTO,PUBLICA,3,200,74,ND,No,Si,40,54,99
Administración de Empresas ,Administración de Empresas,Pascual Saco Y Oliveros,Lambayeque,INSTITUTO,PUBLICA,3,180,51,ND,No,Si,40,79,40
Administración de Empresas ,Administración de Empresas,Universidad Nacional Federico Villarreal,Lima,UNIVERSIDAD,PUBLICA,5,ND,9,2785,No,No,95,1095,489
Administración de Empresas ,Administración de Empresas,Cap Fap José Abelardo Quiñones,Tumbes,INSTITUTO,PUBLICA,3,240,82,ND,Si,Si,42,51,191
Administración de Empresas ,Administración de Empresas,Universidad Científica Del Sur,Lima,UNIVERSIDAD,PRIVADA,5,"12,500 - 25,500",23,ND,No,Si,19,82,30
Administración de Empresas ,Administración de Empresas,De Emprendedores Isag,Lambayeque,INSTITUTO,PRIVADA,4,"900 - 1,340",95,ND,No,Si,664,700,664
Administración de Empresas ,Administración de Empresas,Universidad De Piura,Lima,UNIVERSIDAD,PRIVADA,ND,ND,ND,3980,No,No,ND,ND,ND
Administración de Empresas ,Administración de Empresas,De La Molina,Lima,INSTITUTO,PRIVADA,3,630,54,ND,No,Si,15,28,23
Administración de Empresas ,Administración de Empresas,Universidad San Andrés,Lima,UNIVERSIDAD,PRIVADA,5,"3,200 - 3,900",50,ND,Si,Si,50,100,56
Administración de Empresas ,Administración de Empresas,Paul Muller,Lima,INSTITUTO,PRIVADA,3,290,ND,ND,No,No,ND,ND,ND
Administración de Empresas ,Administración de Empresas,Computrón,Cajamarca,INSTITUTO,PRIVADA,3,210,ND,ND,Si,Si,ND,ND,ND
Administración de Empresas ,Administración de Empresas,Asesoría De Empresas Comerciales Adec,Lima,INSTITUTO,PRIVADA,3,ND,78,ND,No,No,31,40,27
Administración de Empresas ,Administración de Empresas,Monsefu,Lambayeque,INSTITUTO,PUBLICA,3,200,85,ND,Si,Si,34,40,34
Administración de Empresas ,Administración de Empresas,República Federal De Alemania,Lambayeque,INSTITUTO,PUBLICA,3,226,53,1536,No,Si,70,131,70
Administración de Empresas ,Administración de Empresas,Universidad Privada Leonardo Da Vinci,La Libertad,UNIVERSIDAD,PRIVADA,5,225 - 440,71,ND,No,Si,85,120,253
Administración de Empresas ,Administración de Empresas,Felipe Alva Y Alva,Cajamarca,INSTITUTO,PUBLICA,3,100,100,ND,Si,Si,31,31,157
Administración de Empresas ,Administración de Empresas,José Crisam,Arequipa,INSTITUTO,PRIVADA,3,1560,78,ND,No,Si,42,54,204
